# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
898	11719	217787
899	11803	217949
900	11833	217916
901	11845	217890
902	11918	217847
903	11921	217824
904	11978	217885
905	12029	217940
906	12072	217665
907	12126	217658
908	12014	217723
909	11999	217792
910	12039	217594
911	11993	217644
912	11921	217793
913	11770	217998
914	11820	217971
915	11665	218344
916	11641	218307
917	11692	218258
918	11670	218208
919	11528	218137
920	11459	218172
921	11452	218245
922	11300	218214
923	11261	218123
924	11132	218136
925	10958	218328
926	10781	218232
927	10664	218172
928	10477	218396
929	10342	218278
930	10141	218097
931	9991	218029
932	9903	217889
933	9736	218089
934	9578	218015
935	9270	217884
936	9124	217851
937	8897	217833
938	8708	218019
939	8526	217951
940	8376	217857
941	8186	217756
942	8002	217694
943	7850	217589
944	7711	217575
945	7534	217524
946	7362	217445
947	7218	217622
948	7132	217499
949	7026	217448
950	6883	217568
951	6709	217648
952	6687	217629
953	6593	217573
954	6456	217674
955	6298	217652
956	6123	217582
957	5926	217568
958	5780	217672
959	5731	217579
960	5505	217663
961	5306	217782
962	5137	217770
963	4975	217844
964	4738	218050
965	4583	218169
966	4392	218069
967	4358	217892
968	4215	218016
969	4085	218162
970	3888	218264
971	3696	217876
972	3601	218123
973	3453	218184
974	3328	218051
975	3209	218196
976	3127	218238
977	2995	218285
978	2892	218113
979	2777	218044
980	2626	218143
981	2508	218137
982	2380	218233
983	2261	218023
984	2212	218120
985	2114	218017
986	2032	218051
987	1973	217913
988	1861	217867
989	1714	217788
990	1670	217905
991	1551	217701
992	1469	217714
993	1415	217880
994	1322	217668
995	1295	217942
996	1198	218073
997	1109	217932
998	1031	217856
999	971	217963
1000	921	218145
1001	847	218105
1002	786	218176
